,0,1
0,Neji Hyuuga,"The difference between stupidity and genius, is that genius has its limits."
1,Gaara,"It's not because I'm lazy, it's just because I don't care."
2,Hatake Kakashi,A place where someone still thinks about you is a place you can call home.
3,Orochimaru,"Regardless of our limitations, we can always be of some use. Our power may seem insignificant... but it may just prove to be useful in the grand scheme of things. Stay focused. Never avert your eyes, because if an opening arises, even our insignificant power may be enough to determine the fate of the world. Which is why everyone must stay alert and ready to strike at any moment!"
4,Shimura Danzo,Emotion leads one to hate... and hate leads one to conflict and war.
5,Itachi Uchiha,"Love is the reason why there is pain. When we lose someone precious to us, hate is born. Vengeance is the product of that hate and so death follows. But in death there is only more death. This will give rise to more pains. In this cursed world we live in, it is a cycle of hatred that will not cease. You and I seek the same thing that Jiraiya-sensei wanted. Let me ask you this: How will you confront this hatred in order to create peace?

"
6,Orochimaru,"I could say I'm not sad, but I'd be lying. The problem is the world won't let me stay a kid forever, so I can't lie around crying about it either."
7,Sai,The best way to escape reality without running is smiling even if it is obviously fake.
8,Kimimaro,"Lets see, how should I kill you?"
9,Hatake Kakashi,I will show you my own move.
10,Haku,"I'm sure that the boy I killed, who shared that skill, must also have grown up knowing the pain of which I speak. We are special. We are powerful. And we are feared."
11,Gaara,"There are no enemies here because we've all suffered at Akatsuki's hand! So there is no Suna, no Iwa, no Konoha, no Kiri, and no Kumo! There are only ""shinobi""!"
12,Anko Mitarashi,"*to Orochimaru* This is no time to reminisce, you're an S-class criminal, top of the most wanted list. You've got to be taken down, and it's only fitting that I'm the one to do it. 'Cause after all, you're the one that taught me everything, right, Sensei?"
13,Shino Aburame,This is what a real trump card is.
14,Nara Shikamaru,"You would think just this once, when it was life or death, I could pull through."
15,Tenten,"I want to be a great and powerful ninja! To walk in the footsteps of the legendary kunoichi, Tsunade!"
16,Zabuza Momochi,"I can't think of a more fitting destination for a demon ninja, can you?! I'm told there are many demons down there - of all shapes and sizes! Oh yes, I should fit right in! You, on the other hand, Gatō... Well,I fear you're in for a long and very painful eternity!"
17,Kankuro,Naruto... please save my little brother.
18,Kabuto Yakushi,*to Naruto* You've just thrown it all away! Dreams don't come true when you're dead!
19,Jiraiya,"The true measure of a shinobi is not how he lives, but how he dies."
20,Neji Hyuuga,The curse represents a mark of the bird in a cage... It is... the symbol of being tied down to an inescapable destiny.
21,Hatake Kakashi,"*to Pain* The people from this village are different from your average village. Even if it means dying, there's not a single one of us, who would sell out a comrade."
22,Sakura Haruno,*talking to Yamato* Same as always... I can only do the dumbest of things for Naruto...
23,Naruto Uzumaki,"Hey, you stupid fox! You're in my body and you owe me rent! So for payment, I'll take your chakra! You got that?!"
24,Hatake Kakashi,Because you're the only shinobi in the world who can surpass the Fourth. Thats what I believe.
25,Hatake Kakashi,To know what is right and choose to ignore it is the act of a coward.
26,Shino Aburame,Trying to improve by learning from others that is what calls friendship.
27,Itachi Uchiha,"Those who forgive themselves, and are able to accept their true nature... They are the strong ones!"
28,Rock Lee,Stop it! How dare you disrespect an opponent that fought you with all he had!?
29,Genma Shiranui,"When captured birds grow wiser, they try to open the cage with their beaks. They don't give up, because they want to fly again."
30,Gaara,"Just because someone is important to you, it doesn't necessarily mean that, that person is good. Even if you knew that person was evil... People cannot win against their loneliness."
31,Pain,"Even the most ignorant, innocent child will eventually grow up as they learn what true pain is. It affects what they say, what they think… and they become real people. "
32,Neji Hyuuga,Fear. That is what we live with. And we live it everyday. Only in death are we free of it.
33,Itachi Uchiha,Even the strongest of opponents always has a weakness.
34,Gaara,"We have walked through the darkness of this world, that’s why we are able to see even a sliver of light."
35,Jiraiya,"Rejection is a part of any man’s life. If you can’t accept and move past rejection, or at least use it as writing material - you’re not a real man. "
36,Nara Shikamaru,It’s because we help out when they’re in trouble that we can count on them to come running when we need it.
37,Nagato,If you don't share someone's pain. You can never understand them.
38,Pain,Love breeds sacrifice... which in turn breeds hatred. Then you can know pain.
39,Sasuke Uchiha,"Tears and rain, fall down on my face, my body is unable to stay yet my heart is unwilling to leave."
40,Tobirama Senju,"Grown-ups are idiots. If they really want to bring an end to this endless fighting, they need to sit down with one another and reach a truce."
41,Hatake Kakashi,"I've been around longer than you have, kid. And I've seen my share of troubles. You're not the only one who knows what it's like to lose somebody. It looks like neither of us has led a charming life, have we? Still, it's not that bad. At least you and I have been lucky enough to find new comrades to help fill the void."
42,Nara Shikamaru,Laziness is the mother of all bad habits. But ultimately she is a mother and we should respect her.
43,Hatake Kakashi,"If comrades that you trust gather around you, hope can take physical form and become visible. That`s what I believe..."
44,Naruto Uzumaki,"Because they saved me from myself, they rescued me from my loneliness. They were the first to accept me for who I am. They're my friends."
